Author;Date;Reaction;Comment
فرفر يعلق الجرس;الثلاثاء 1 غشت 2023 - 18:28;-75;"أساتذة “الزنزانة 10” 
الأمر مضحك للغاية وقد يتولد عليه هيستيريا الضحك وهل هناك اساتذة الزنزانة 7 و 8 و18 و19 و20 الى غير ذلك انحن في التربية والتكوين ام في صرح السجون والزنزانات؟"
متسائل;الثلاثاء 1 غشت 2023 - 18:29;-5;انا صراحة مازلت غير متفائل بمسألة خارج السلم لأساتذة التعليم الابتدائي والإعدادي وإن كان هنا من لديه خبر أكيد فلا يبخل علينا به
محمد;الثلاثاء 1 غشت 2023 - 18:30;40;يجب انصاف اساتذة الزنزانة عشرة .. كيف يعقل أستاذ خدم أكثر من 14 سنة ومازال سجين الزنزانة 10 في اساتذة تخرجو بالسلم 10 في 2013 ومرو للسلم 11 .. هذا ظلم .. يجب تحفيز الاستاذ لي كي يعطي أكثر في القسم .. وشكرا هسبريس لنشرك لمعاناة هذ الفئة
مولاي رشيد;الثلاثاء 1 غشت 2023 - 18:39;26;أتعجب من حكومة تريد العطاء والجودة ممن يتم أقصاؤهم لسنوات من حقوق متفق عليها منذ سنين. اين هي الجودة وبعدها الريادة وقبلهما الإنصاف
عبدو;الثلاثاء 1 غشت 2023 - 18:42;19;يجب انصاف شيوخ التربية الدين شملهم نظام التقاعد المجحف رغم وعد الدى صرح به الوزير الأول داخل قبة البرلمان بأن هذه سيشملها تقاعد مريح
عثمان;الثلاثاء 1 غشت 2023 - 18:44;39;"عار أن يبقى الأساتذة في السلم 10 لأزيد 20 سنة، كيف للأستاذ أن يحس بالكرامة و يستمر في العطاء بأجر 5000 درهم في أيامنا هاته؟
أنصفوا أساتذة السلم العاشر! فهم ضحايا التمييز و عدم الانصاف."
Karim;الثلاثاء 1 غشت 2023 - 18:45;23;نحن كاساتذة الزنزانة 10قضينا اكثر من 15سنة في السلم التاسع واكثر من 10سنوات في السلم 10 ولا زلنا نعاني من الحيف والظلم لا ترقية ولا جبر ضرر ونقول للوزراة انها تكرس للهشاشة وزيادة الاحتقان لا غير اما الشعارات الرنانة التي تطلقها وتدعوا بها كل الاساتذة للاقلاع فان الطائرة لن تقلع ولا تغيير ولا اصلاح انما ترقيع وكذب في كذب والوزارة تتحمل مسؤوليتها في ما ستؤول اليه الاوضاع في الموسم الدراسي القادم
أستاذة غيورة;الثلاثاء 1 غشت 2023 - 18:52;22;لقد عمدت الوزارة دائما على تفرقة شغيلتها، ولكن ما شهدناه اليوم يؤكد فشلها رغم تنوع و تعدد المطالب، لكن يبقى المطلب الأساس هو إنصاف الأساتذة بكل فئاتهم و تحقيق العدالة الإجتماعية لهم فهم بنات المجتمع أحب من أحب و كره من كره
مواطن;الثلاثاء 1 غشت 2023 - 19:17;10;"لماذا هذا التمييز بين التربية الوطنية و الأمن رغم أهدافهما الوطنية المشتركة؟
فرق كبير بين 82 درهم سنويا او أكثر و ترقية استثنائية بأثري مالي و اداري مهمين.
أين المسؤولين؟"
محمد;الثلاثاء 1 غشت 2023 - 20:30;-7;لم يشرح احد للراي العام ما هو مشكل هاد الزنزانة 10 ???????
شفيق;الثلاثاء 1 غشت 2023 - 21:05;13;أين هي الجدية التي نادا بها صاحب الجلالة في خطابه الاخير بمناسبة عيد العرش ملف الزنزانة 10 يجب أن تتعامل معه الوزارة بجدية لا للظلم لا للحكرة باراكا باراكا
Abdou;الثلاثاء 1 غشت 2023 - 21:27;20;حاليا الزيادة في أجور رجال الأمن وأعوان السلطة الدين يسهرون على أمننا اما رجال التعليم فإن البلاد تعيش أزمة مالية ..سبحان الله العظيم .
محمد;الثلاثاء 1 غشت 2023 - 21:29;13;شيوخ التربية والتعليم ضحايا النظامين وصمة عار على جبين الحكومات المتعاقبة فلحد الساعة مازال المتضررون من الظلم والحيف الذي لحقهم ان يتم الالتفات الى مأساتهم بحل ينصفهم و جبر الضرر الذي لحقهم خلال مسيرتهم العملية
HANI;الثلاثاء 1 غشت 2023 - 23:42;9;تحياتي لجميع رجال و نساء التعليم. نتمنى النظر لمطالب هذه الفئة لأنهم يستحقون أكثر مما يطالبون به و كذلك للنهوض بمنظومة التربية و التعليم.
مواطن;الأربعاء 2 غشت 2023 - 00:10;8;فعلا هذه مطالب مشروعة لأنهم لن يستفيدوا من خارج السلم للمحرومين منه اللهم بعض الفتات. شيوخ التعليم المقبلون على التقاعد لن يستفيدوا إلا من 8 أشهر خارج سلم. و كذلك القابعون في الزنزانة 10 و الذين قاربت أعمارهم 50 سنة لن يستفيدوا إلا من سنتين خارج سلم إن أطال الله في عمرهم. لأن شروط الإنتقال من السلم 11 إلى خارج سلم مجحفة و يصبح بها السلم 11 زنزانة رقم 11. لأنه لابد من المكوث 5 سنوات في 11 و بعد ذلك التقيد في جدول الترقي 4 مرات هي 4 سنوات و المجموع 9 سنوات حتى العام 10 عاد يمكن الترقي إلى خارج السلم. رتب خارج السلم قدرت ب 24 سنة لن يصلها أحد و قيمتها متدنية. يعني السياسة المتبعة هو حصر الموظف لأطول مدة ممكنة في زنزانته لأن ترقيته تستوجب ضخ المال في حسابه و هي التكلفة التي تتهرب منها الدولة. النظام الأساسي الجديد له تكلفة مالية و إلا فإنه سيخلف ضحايا. الحل هو أثر رجعي للشيوخ و ترقية استثنائية لضحايا الزنزانة 10 . لأن الحلول المقترحة في المسودة غير مفهومة و هي سنوات اعتبارية لا نعلم تأثيرها الإيجابي على الفئة.
نعيمة;الأربعاء 2 غشت 2023 - 01:01;5;لا حول ولا قوة إلا بالله، لم أرى هكذا تماطل وتحايل على الشغيلة التي أفنت عمرها فخدمة هذا الوطن، أنصفوا أساتذة الزنزانة10
Author;Date;Reaction;Comment
محمد;الثلاثاء 29 غشت 2023 - 00:02;17;"تغيير الاطار لاطر التوجيه خط احمر
يجب مراجعة مرسوم مركز التوجيه باقرار سنة للمستشارين و سنة سلك التفتيش و تغيير الاطار لجميع الممارسين."
عن أي نظام تتحدثون؟;الثلاثاء 29 غشت 2023 - 00:06;35;إن النظام الأساسي سيخرج الى الوجود خلال أسابيع أو شهور أو سنوات لأنه سيخلف ضحايا جدد وستعود حليمة إلى عادتها القديمة.
جمال ادامحمد;الثلاثاء 29 غشت 2023 - 00:06;17;نتمنى من الوزارة التعقل وإنصاف أطر التوجيه التربوي الذين طالهم الحيف في النظام الأساسي القديم والجديد، إذا كانت حقيقة جادة في إخراج نظام أساسي منصف وعادل
السفارة فوق العمارية;الثلاثاء 29 غشت 2023 - 00:07;14;واش اتصلتوا بالسفارة الفرنسية وخذيتوا منها الاذن فتحسين التعليم ؟
متضرر;الثلاثاء 29 غشت 2023 - 00:11;16;التنسيقية الوطنية لأساتذة الزنزانة ٩ سابقا ،لن ولن تقبل بأي نظام أساسي غير منصف لهذه الفئة ، وستعود عما قريب للشارع في حالة عدم استجابة الوزارة لمطالبها
